ingredients,dish,description,steps
"chicken, soy sauce, vinegar, garlic, bay leaves, peppercorns","Adobo","A savory and tangy Filipino chicken stew simmered in soy sauce and vinegar.","Marinate chicken in soy sauce and garlic. Simmer with vinegar, bay leaves, and peppercorns until tender."
"pork, tamarind, kangkong, radish, tomato, onion","Sinigang na Baboy","A sour pork soup with vegetables and tamarind broth.","Boil pork until tender. Add vegetables and tamarind broth. Simmer and serve hot."
"oxtail, peanut butter, eggplant, banana blossom, bagoong","Kare-Kare","A rich peanut-based stew traditionally served with bagoong.","Cook oxtail until tender. Add peanut sauce and vegetables. Serve with bagoong."
"pork belly, garlic, salt, pepper, oil","Lechon Kawali","Deep-fried crispy pork belly with crunchy skin.","Boil pork belly with seasonings. Deep fry until crispy."
"noodles, chicken, carrots, cabbage, soy sauce","Pancit Canton","Stir-fried egg noodles mixed with meat and vegetables.","Stir fry chicken and vegetables. Add noodles and soy sauce."
"chicken, ginger, papaya, chili leaves, onion","Tinolang Manok","A comforting ginger chicken soup with green papaya.","Boil chicken with ginger and onion. Add papaya and chili leaves."
"pork, coconut milk, chili peppers, shrimp paste","Bicol Express","A spicy pork dish cooked in creamy coconut milk.","Cook pork with shrimp paste. Add coconut milk and chilies."
"taro leaves, coconut milk, chili, dried fish","Laing","A spicy coconut milk dish made with dried taro leaves.","Simmer taro leaves in coconut milk with chili and dried fish."
"beef shank, corn, cabbage, potatoes, onion","Bulalo","A hearty beef marrow soup served hot.","Boil beef shank until tender. Add vegetables and simmer."
"pork face, onion, chili, calamansi, mayonnaise","Sisig","A sizzling chopped pork dish with citrus and spices.","Grill pork and chop finely. Mix with onions, chili, and calamansi."
"ground pork, carrots, onion, wrapper","Lumpiang Shanghai","Crunchy Filipino spring rolls filled with seasoned meat.","Mix filling ingredients. Roll in wrapper and fry until golden."
"chicken, vinegar, calamansi, lemongrass, annatto oil","Chicken Inasal","A grilled marinated chicken dish with smoky flavor.","Marinate chicken and grill while basting with annatto oil."
"fish, vinegar, garlic, ginger, eggplant","Paksiw na Isda","Fish simmered in vinegar with garlic and ginger.","Simmer fish in vinegar with garlic and ginger."
"pork, pork blood, vinegar, chili, garlic","Dinuguan","A savory pork blood stew with vinegar and spices.","Cook pork and simmer with pork blood and vinegar."
"pork, liver, potatoes, carrots, tomato sauce","Menudo","A tomato-based pork stew with vegetables and liver.","Cook pork and liver with vegetables and tomato sauce."
"chicken, potatoes, carrots, tomato sauce, bell pepper","Afritada","A Filipino chicken stew cooked in tomato sauce.","Cook chicken with tomato sauce and vegetables."
"beef, soy sauce, tomato sauce, potatoes, lemon","Mechado","A braised beef dish simmered in tomato sauce.","Braise beef with soy sauce and tomato sauce."
"goat meat, liver spread, tomato sauce, potatoes","Caldereta","A spicy tomato-based goat meat stew.","Cook goat meat until tender. Add sauce and vegetables."
"rice, chicken, ginger, garlic, egg","Arroz Caldo","A warm rice porridge flavored with chicken and ginger.","Cook rice with chicken broth and ginger until thick."
"rice, beef tripe, ginger, garlic, onion","Goto","A savory rice porridge with beef tripe.","Cook rice porridge with tripe and ginger."
"beef tapa, garlic rice, egg","Tapsilog","A popular Filipino breakfast with cured beef, rice, and egg.","Fry tapa and serve with garlic rice and egg."
"longganisa, garlic rice, egg","Longsilog","Sweet Filipino sausage served with garlic rice and egg.","Cook longganisa and serve with garlic rice and egg."
"tocino, garlic rice, egg","Tocilog","Sweet cured pork paired with garlic rice and egg.","Fry tocino and serve with garlic rice and egg."
"milkfish, vinegar, garlic, pepper","Daing na Bangus","Marinated milkfish fried until crispy.","Marinate milkfish and fry until crispy."
"mixed vegetables, shrimp paste, pork","Pinakbet","A vegetable stew flavored with shrimp paste.","Cook vegetables with shrimp paste and pork."
"squash, coconut milk, shrimp, string beans","Ginataang Kalabasa","Squash and shrimp cooked in coconut milk.","Cook squash and beans in coconut milk."
"mung beans, shrimp, spinach, garlic","Ginisang Monggo","A mung bean stew with shrimp and leafy greens.","Cook mung beans and sauté with shrimp and spinach."
